Screen Name,Follower Count,Total Tweets,Type
RMarieGriffith,1962,1260,Celebrity
WashUChancellor,3413,4081,Celebrity
ProfMomatWashU,112,493,Expert
Eve_of_On,200,1384,Expert
ehaswell,2633,4339,Celebrity
GSSwustl,53,58,Layman
WASHU_BNVB,76,69,Layman
WUSTL_CIO,388,794,Expert
ThomChesney,1395,4743,Celebrity
myrablopez,518,1575,Expert
WASHUwSoccer,631,601,Expert
OTSL,9500,5312,Celebrity
WashUwTennis,151,836,Expert
WashUDevBio,366,79,Expert
NPR,7824767,182473,Celebrity
debparker7,266,206,Expert
kevin,122327,25,Celebrity
mikeyk,502535,23,Celebrity
WASHU_XCTF,705,1173,Expert
cashnickerson,8759,2277,Celebrity
GregMagarian,109,45,Expert
SanjitDeSilva,219,1552,Expert
sathyayayaya,217,91,Expert
BecauseNicoleH,1858,3865,Celebrity
AFResearchLab,10086,4394,Celebrity
BiStateDev,858,851,Expert
jeffheaton,9606,2649,Celebrity
limebike,23790,6070,Celebrity
explorestlouis,66086,10060,Celebrity
DrMichaelLomax,6125,6768,Celebrity
WUSTL_Weather,45,7374,Layman
LydaKrewson,17208,4972,Celebrity
kgreenbaum,2616,5607,Celebrity
wwt_inc,10032,14439,Celebrity
raven_r24,73,741,Layman
SlaughterAM,158630,38161,Celebrity
Farsh_G,2177,3743,Celebrity
statnews,92899,33645,Celebrity
Guilak_Lab,1197,607,Celebrity
eternally_g,232,6025,Expert
IdeasfromPaula,148,240,Expert
kindboml,2008,449,Celebrity
clarkkathleen,2091,4359,Celebrity
WUPR,507,1139,Expert
danepps,8942,5768,Celebrity
AsteroidDay,499228,7013,Celebrity
MFA_WUSTL,350,709,Expert
DrEmilyT,458,2404,Expert
WashUmTennis,254,33,Expert
WUSTLBio,658,529,Expert
WashUGHW,83,53,Layman
BuderCenter,157,281,Expert
WashUHumanities,210,598,Expert
NASA_Johnson,947133,12436,Celebrity
DanforthCenter,10533,8536,Celebrity
NASASocial,336443,20495,Celebrity
SKappHastings,13,6,Layman
kimselle,55,732,Layman
K_Leg80,711,10505,Expert
NASAblueshift,83333,3336,Celebrity
WBTolman,3696,6670,Celebrity
MpowerStL,204,550,Expert
DrDHud,674,561,Expert
WFTate4,943,884,Expert
MOEducation,19113,16124,Celebrity
FulbrightPrgrm,67763,12527,Celebrity
ursasnitelife,156,581,Expert
WashUAdmissions,786,1060,Expert
purvi899,965,6569,Expert
washubaseball,903,1497,Expert
em_rich3,265,2349,Expert
jasonmarquart,987,6140,Expert
drtessthompson,1714,7242,Celebrity
jgohsman,138,223,Expert
WashUReady,430,618,Expert
GirlsWhoCode,290208,11260,Celebrity
enola_proctor,1046,1289,Celebrity
TwitterVideo,15204527,8870,Celebrity
ReligPolitics,12516,7086,Celebrity
TeamWashUSolar,75,168,Layman
EricSchultz,25958,19898,Celebrity
WUMCRC,1073,6189,Celebrity
WashUcampusnext,587,316,Expert
nocmgr,149,940,Expert
WUSTLsurgres,889,563,Expert
TimJBono,315,191,Expert
WashUSurgery,1621,3737,Celebrity
webuhro,914,1196,Expert
teresaalane,352,1162,Expert
AnthonyAzama,605,515,Expert
askmiaquestion,146,166,Expert
stlcountypd,67377,5783,Celebrity
DrJeffrey2U,533,433,Expert
DeanNancyStaudt,752,1773,Expert
GreenDotWashU,80,149,Layman
MichaelKinch,387,632,Expert
sarahkliff,137203,20259,Celebrity
ArmyResearchLab,15409,2793,Celebrity
ajost,6312,33884,Celebrity
_MerisS,870,12827,Expert
OSUPrezDrake,16116,4372,Celebrity
WUSTLphs,824,5525,Expert
WUSTLAnthro,595,936,Expert
ArdenFarhi,5086,2310,Celebrity
voxstorytelling,2537,169,Celebrity
AdmissionDeanWU,302,474,Expert
K12FutureE,4453,2072,Celebrity
DeanTaylorWashU,774,478,Expert
ElleBelle37,23966,3229,Celebrity
DrakeUniversity,45000,15157,Celebrity
jennie6878,145,491,Expert
milchar193,502,3266,Expert
jamesloomisIII,2706,1284,Celebrity
TEDxArch,2620,5908,Celebrity
soledadobrien,1048890,74693,Celebrity
nytimes,43928197,368955,Celebrity
CahokiaMounds,1147,1007,Celebrity
doscareers,26447,18160,Celebrity
zoobeanreads,3297,6886,Celebrity
sciam,3759447,61988,Celebrity
MurmurationFest,1117,1403,Celebrity
Tsinghua_Uni,56568,2209,Celebrity
FergFlorSchools,3087,4772,Celebrity
JaySieling,367,5494,Expert
de_nichols,3537,29610,Celebrity
SUConnectionSTL,852,468,Expert
DrLoriWashU,526,62,Expert
isanchezprado,2336,3953,Celebrity
vcmitchelljr,9395,31144,Celebrity
jmitori,2048,2347,Celebrity
sbbaicker,26604,75345,Celebrity
cardsblog,1878,4813,Celebrity
McFaul,384523,70314,Celebrity
