Screen Name,Follower Count,Total Tweets,Type
ijsjbyjjymtbbyk,30,7074,Layman
phoebexloren,157,810,Expert
LauraPalacino,245,3581,Expert
DrewfromYonkers,23,1863,Layman
Yo_Guang,92,350,Layman
heey_hendrix,277,486,Expert
lekia7,77,37,Layman
mutv23,1959,6648,Celebrity
NatUrbanLeague,102459,19710,Celebrity
rockwellhouse,61,113,Layman
melprax,1117,16904,Celebrity
jac_foody,0,0,Layman
ChpmryMary,46,4,Layman
MarsReck,2,41,Layman
gergmerlo,40,192,Layman
PolicyCarnival,66,15,Layman
yanuprasetyo,500,779,Expert
WUSMEdTech,9,2,Layman
Robyn_Beck,863,899,Expert
ameliabond,86,29,Layman
JohnBrownTV,5494,13281,Celebrity
cierajo,633,4186,Expert
boldinventions,335,2305,Expert
jphoganorg,1534,60768,Celebrity
cubbybruin,2599,12861,Celebrity
JRConsidine,171,791,Expert
mriesbadger,257,3150,Expert
CharletFaye1,5229,31330,Celebrity
betcafeteam,101,44,Expert
brea55055,639,68007,Expert
fitzeeeeee,48,156,Layman
cathydunkin,270,105,Expert
shaniya7886,5,66,Layman
davethw,13,0,Layman
SKCCDirector,1507,1464,Celebrity
Ttc995,20,2520,Layman
yoursbfly,492,2502,Expert
LUfilm_series,42,26,Layman
RobotSpaceJesus,4,100,Layman
MicheleCostakis,5,0,Layman
SandyDolan,3,75,Layman
jmhellman,87,67,Layman
loobyemily,177,280,Expert
coreandmain,751,512,Expert
IUcardinal,8,2,Layman
jaedelso,41,225,Layman
FIRMUSLLC,207,668,Expert
irrelevantOM,1447,3878,Celebrity
Glic,401,36121,Expert
x_healy,33,91,Layman
AmericaFirstMO,6367,6160,Celebrity
ToddKerensky,8,15,Layman
CindyZavaglia,380,6849,Expert
iCentapp,269,593,Expert
elizaespinoza00,13,4,Layman
PilarMarrero,9546,30033,Celebrity
SilverWraith80,0,0,Layman
Soulcentralmag,45185,389871,Celebrity
hollif5,58,95,Layman
MrGFarb,285,3171,Expert
lindskalan,437,727,Expert
OffThePagePrep,11,33,Layman
corman_tammy,51,4285,Layman
Dr_Durgam,1167,6392,Celebrity
revkirk72,18,12,Layman
34hawks,26,8,Layman
BBCentersofStL,3646,4735,Celebrity
HohlTiffany,44,0,Layman
CounselorsLHS,606,923,Expert
patkogos,7,2,Layman
livleehall_94,58,44,Layman
NonprofitTalent,3498,2477,Celebrity
MoonriseHotel,4641,6011,Celebrity
luvdoxsuns,211,9375,Expert
talgal103,193,2797,Expert
amreets7,90,3037,Layman
stateofempathy,136,2975,Expert
allboutfire,15,10,Layman
MiltonFinger,43,519,Layman
dkatzen68,427,1105,Expert
DrukDhane143,12,0,Layman
DrJ_OSSO,280,136,Expert
rbrandtraffic,3262,63206,Celebrity
863204329David,4,2,Layman
stormoomoo,148,2452,Expert
doughocracySTL,42,94,Layman
MichRem,496,732,Expert
thetimesbusines,848,70720,Expert
InsureLouisiana,1604,7527,Celebrity
iamLynnKathleen,749,989,Expert
dms3389,138,6260,Expert
cwells_31,79,258,Layman
MosheEscorcia,11,8,Layman
BHSCollege,979,1785,Expert
tdehaemers,6,12,Layman
rtandon99,1,0,Layman
getemworldwide,4246,36758,Celebrity
jstearns531,22,144,Layman
MartinaEvaJ,446,1551,Expert
Kes66,134,9692,Expert
angejackeferrer,1329,8157,Celebrity
KHQA,13305,77805,Celebrity
lukebutl90,2,0,Layman
MoFiReCrAcKeR,15,12,Layman
nianhexiaosi,0,1,Layman
VanCerny,594,1406,Expert
melclaver24,442,2597,Expert
CHKEBlessingway,1685,48695,Celebrity
CarolynVOA,2381,851,Celebrity
lizzwill,162,6754,Expert
Coregan123,2,1,Layman
barfancy,145,365,Expert
remstacenter,2171,12355,Celebrity
AngelaS_Therapy,23,26,Layman
_carriecarrie,13,494,Layman
PLD_KStudle,25,19,Layman
theresaorozco,438,5208,Expert
zulfiqarsolangi,219,5087,Expert
husky75,207,2666,Expert
AvidReader18519,357,4727,Expert
tldubblu,10,23,Layman
chhbean,11,3305,Layman
bneinstein,30,19,Layman
Yuzisun,6,2,Layman
kaparanga,402,726,Expert
bonabge,14,4,Layman
m_almoty,1106,1027,Celebrity
KeepinitREIL,11,21,Layman
SuddenEngineer,71,7448,Layman
sueB423,52,13528,Layman
davidvallejo79,365,100,Expert
ZHANGPuman,2,0,Layman
gormanate,476,15676,Expert
SueKDrath,37,31,Layman
RyanScotty81,203,1477,Expert
lodaxx,46,46,Layman
Reyes0C,12,75,Layman
andrew_engen,111,879,Expert
chocolatbirds,10,17,Layman
qwerzxcvasd,35,189,Layman
HeNeArXe,531,2076,Expert
GrantGoldman,70,628,Layman
LexiMcHR,161,362,Expert
babs_alexander,33,748,Layman
slb4226,7,4,Layman
leslien76,2,4,Layman
adryenn,81211,101443,Celebrity
CamiloGatica,568,12623,Expert
shentj08,59,500,Layman
gross_marla,7,9,Layman
StuartBunderson,3,3,Layman
DahjanayW,55,37,Layman
dirtysneakerz,124,5139,Expert
AbramVanEngen,237,182,Expert
MemaGrammy,45,0,Layman
EEOC_STL,172,676,Expert
NatlGovsAssoc,16933,7929,Celebrity
ranoringola,32,432,Layman
sandtcec,657,1304,Expert
crevecoeurworks,392,349,Expert
cuongkhoa0503,4,213,Layman
USAChick1777,1682,61913,Celebrity
ANNJONESSTL,64,6054,Layman
osmowustl,5,26,Layman
muktichowkwale,17,399,Layman
MaryAnnAhernNBC,20620,45764,Celebrity
rajparikhmd,4989,2324,Celebrity
MillanLaw,24,38,Layman
STLVegGirl,4894,20622,Celebrity
denise_cowen,11,8,Layman
bkelifritz,15,10,Layman
SaferPatientsRD,93,273,Layman
MeritaHaxhia,9,16,Layman
EllisDental,450,1868,Expert
Moirakt76,105,51,Expert
mpbirchtree,113,1772,Expert
theivyacademy,17,82,Layman
STLDRONE2016,28,19,Layman
hvjunnarkar,9,3,Layman
ZacherMargarita,7,4,Layman
lohith_metal,220,14,Expert
SeagullsBand,5324,2999,Celebrity
dlmsbpitt,6,11,Layman
mImIaNNEE,0,26,Layman
kidsfirstnow1,412,39670,Expert
cannon2future,323,941,Expert
legaloutreach,632,706,Expert
Sunshinie86,61,699,Layman
mrsdewever,48,129,Layman
LaunchCoderGirl,3120,1196,Celebrity
PDPGainesville,25,4,Layman
RHERooms,23,43,Layman
manal3nrd,188,264,Expert
dobdaydurran,19,110,Layman
lamdabio,176,72,Expert
nateellsworth9,247,641,Expert
shyj,7827,52148,Celebrity
cepply,1226,104780,Celebrity
Femtonics,365,313,Expert
MichaelRizzo15,79,2,Layman
john24leach,456,9092,Expert
kainenutt,100,684,Expert
TaliaBrown84,21,20,Layman
clarissabbyx3,70,445,Layman
faivanlau,32,447,Layman
BurningKumquat,27,26,Layman
USDAClimateHubs,3167,5614,Celebrity
WillFloydGATE,70,22,Layman
TeamJFJ,262,2811,Expert
Dannyreise,55,215,Layman
vidhyasagar111,118,10026,Expert
Mo_Dwy,517,1848,Expert
Mulcahy5678,6,3,Layman
NeatMacintosh,526,5449,Expert
tlrlive,18,34,Layman
haili_beattie,114,746,Expert
LaverneMarcum1,4,25,Layman
MollieHennessee,18,7,Layman
modavidmjackson,1426,4648,Celebrity
Dharma_Jon,4,25,Layman
godFatherfrazer,216,1182,Expert
AldaveMarcelo,215,2747,Expert
joangklaus,5,18,Layman
cesar_mb10,471,1889,Expert
villageartist,135,230,Expert
aaaaarielx,0,11,Layman
GardenOnGrand,147,73,Expert
dallltho,744,307,Expert
ladyaeroeng,2,33,Layman
MarieSbarbri,20,22,Layman
cbredneck85,59,287,Layman
WashUdebate,6,19,Layman
Mi__12Roy__,208,22,Expert
TEDxArch,2621,5908,Celebrity
annelise_atkin,26,30,Layman
kdaniels1978,48,1164,Layman
originalprez,1377,763,Celebrity
KathySchwartz3,108,262,Expert
DannyDaviesJr,176,1135,Expert
jonahgui,223,2437,Expert
TracyMcCreery,4450,11206,Celebrity
jiangh7,11,34,Layman
SophieBishopp1,3,0,Layman
lhochsz,254,453,Expert
AHS__Counseling,317,378,Expert
kurtsandwey,339,5796,Expert
nenoide1,5,4,Layman
jaybhaire,50,30,Layman
charteroneuclid,350,680,Expert
DASON_duke,1855,4362,Celebrity
martcuriel58,24,121,Layman
IFRI_,25773,23837,Celebrity
care4democracy,1863,57699,Celebrity
TITLELAWSTL,208,681,Expert
AmberThomas89,114,1058,Expert
InnResultsDC,52,185,Layman
supertingating,1,1,Layman
mariocibelli,1370,7262,Celebrity
Sarahc126,2,0,Layman
EdySemaan,527,4043,Expert
TheUNews,2108,2264,Celebrity
john_george23,131,335,Expert
bjkrugermad13,63,1045,Layman
bloom_zachary,39,22,Layman
PCarefour,3,11,Layman
mcfleischer,3,10,Layman
stlheatherreed,9,2,Layman
drm_tenenbaum,3861,1684,Celebrity
juliezhaoqx1,15,16,Layman
studwell727,408,7315,Expert
AlisaG0119,20,10,Layman
Spoiledgirl08,7,222,Layman
BuddersBetter,626,546,Expert
ShaoxingJohnlee,40,6,Layman
nancyscullion,25,109,Layman
DiggerDog181,11,53,Layman
KristinBarta,327,10082,Expert
patkilker,89,2482,Layman
BASISSAMEDICAL,430,2180,Expert
DidgeryReb,8,2,Layman
GeneDx,4640,3303,Celebrity
TheCenterforSE,225,476,Expert
feminita,26,5092,Layman
andrew_farrell_,147,2114,Expert
Dani_Jess_,35,147,Layman
GothamArtists,1631,8728,Celebrity
fvforumeditor,167,593,Expert
workzone,1523,1911,Celebrity
EnvironmentalND,169,490,Expert
STLCureSarcoma,66,79,Layman
justrenita,246,871,Expert
DeBold_Science,278,1405,Expert
maddisoonnn__,490,6986,Expert
walk2brew,138,77,Expert
alexa_billings,78,67,Layman
maritovoz,5236,31884,Celebrity
alimohammedlee,490,884,Expert
bythesea49,887,1528,Expert
prhspeakers,2020,5614,Celebrity
cybele1616,1,1,Layman
sandra_lube,884,2459,Expert
YangweiLiu,1915,1424,Celebrity
SEUAADC,237,507,Expert
ANASTASIA_4U2NV,29,355,Layman
KathiMikelson,17,7,Layman
nx102zj,6,104,Layman
MOOCerde,132,7263,Expert
datacracyteam,413,2345,Expert
RadGuidance,17,1,Layman
WeAreHereUSA,33,252,Layman
WChurchillHS,697,5348,Expert
lacywildermusic,717,9299,Expert
Saki852572821,0,0,Layman
zhanglee43,2,2,Layman
Jparker__15,754,1408,Expert
SchwartzKendall,612,1343,Expert
CCG_UrNewPT,14,7,Layman
sierramike320,961,42081,Expert
imOkayhvia,77,1158,Layman
MarisaMattin,1,0,Layman
Shack417,451,13007,Expert
tlktthpw1,386,693,Expert
tinytigersg,1,60,Layman
MSBMules,96,497,Layman
Staybridge_STL,70,6,Layman
World_100,399,385,Expert
MemChallenge,394,448,Expert
MEBCalidadevida,811,67242,Expert
baldwin2college,179,552,Expert
BillyGreyCC,250,443,Expert
msanders99,70,113,Layman
AndyFies,270,64,Expert
hlindgre,10,1,Layman
PosCitizens,406,30,Expert
NhedeNicholas,97,1072,Layman
earcmongolia,385,719,Expert
ThePrayingNurse,2855,2049,Celebrity
carlosfilhosfc,330,1809,Expert
iRecruitInterns,24,17,Layman
NoVoterID,49,7,Layman
luvvoltaire,1003,178,Celebrity
DaltonBret,95,31,Layman
cohen_alyss,94,336,Layman
Smitroger85Call,161,130,Expert
T_Hack911,102,975,Expert
Xavier_Vw,5,10,Layman
LozRunningMom,38,474,Layman
tena8547,917,2504,Expert
dsuntan17,17,64,Layman
modrellt,42,424,Layman
RyanFirestone_,5,0,Layman
dannykimm,5174,3724,Celebrity
soledadobrien,1049005,74707,Celebrity
mauwuvilla37,39,45,Layman
catchit16,789,56048,Expert
caro__ferguson,35,578,Layman
BrieNoud,374,8614,Expert
KristenGeiger,713,4778,Expert
mclaw2016g19,5,3,Layman
marc_pasteris,72,1439,Layman
XperienceLab,222,309,Expert
Jcervantestwit,22,50,Layman
reabz,48,153,Layman
gina_marten,58,463,Layman
drjregan,612,405,Expert
Payment_Network,2165,1873,Celebrity
NutKase_Tech,5424,1277,Celebrity
nicrou22,18,16,Layman
N2012Najd2012,198,2291,Expert
ronaldivandonk,9,1,Layman
PALubarsky,2,1,Layman
Kenex_L,0,0,Layman
987654321TG,396,25104,Expert
pmorris12412412,2,0,Layman
JoeyHumphries,98,355,Layman
DeruSpeaks,826,2323,Expert
MAGABossGeri,430,3513,Expert
zhangyahui2016,63,167,Layman
dimaelissa,2186,4935,Celebrity
Soulshine_Teena,1656,9241,Celebrity
ClevaDJManhoa,364,19,Expert
gabiauchus,71,472,Layman
_Kaden_,445,4772,Expert
janna_sekhon,7,7,Layman
carol_feldman,26,2,Layman
DKWpublichealth,1639,12320,Celebrity
toddwolff82,2,0,Layman
Ejenx2,5,18,Layman
Xueyi_Jin,9,9,Layman
BrightCrowd,235,242,Expert
KimRjmama,10,12,Layman
Billiken75,84,15478,Layman
aimee2428,10,16,Layman
NicoleMorhaus,6,37,Layman
brisamarina3,7,13,Layman
kathyb314,1,0,Layman
bespoke_takes,452,13215,Expert
nagelep1,88,180,Layman
a7madghamdi9,283,885,Expert
ToshiKido,10,44,Layman
OlinVentureFund,2,0,Layman
Jloague,207,11055,Expert
naa_stl,136,155,Expert
christoffler,2880,20460,Celebrity
Snakelegs_Yi,3,4,Layman
GShanlan,6,48,Layman
BHS_SchCoun,144,1725,Expert
AnsleyLacitis,670,1087,Expert
mgardner_ak,227,1415,Expert
americatooday,689,433,Expert
ezgiyaman_s,230,1125,Expert
kcb5,12,3,Layman
FredrickDoss,1304,49303,Celebrity
Horses4Heroes,1613,3691,Celebrity
CoolicideIL,45,41,Layman
Amyhmfan,14,13,Layman
Popekr1,78,805,Layman
westerdoodle,143,582,Expert
paulmorochnik,112,262,Expert
BrownRbjr2002,533,28313,Expert
SusanaPablo,1383,34735,Celebrity
the_journalist_,1765,535,Celebrity
defeng22,19,85,Layman
k_keller1,34,792,Layman
greenberg_lisa,2,3,Layman
agrafenamedved1,63,0,Layman
loganklahn,31,34,Layman
KinleyKoontz,952,1399,Expert
MadPad495,16,2043,Layman
Ronald_Raider,284,1,Expert
hooney704,84,54,Layman
womeng2018,31,6,Layman
